Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
Overdue,EIS_Security Technology Services,10_LogicMatch_Rule:6807118_AppToTower_Vulnerability Analytics Engine_EIS_Security Technology Services_2026-05-16,2026-05-16 00:00:00,Vulnerability Analytics Engine,"Bott, Brandon; Gerrick, Ryan; Twyman, Timothy; Sanchez, Manuel","Gerrick, Ryan",,PCI,Yes,Medium Risk (40-59),55,PCI,2026-08-15 00:00:00,106369,,,,mvmpsvrptchap01.aeth.aetna.com,167.69.110.104,,EOL/Obsolete Software: Microsoft Access Database Engine 2016 Detected,,Windows Server 2016 Standard,Windows,,"CrowdStrike, Qualys_CSAM, ServerPatch, SNOW",CLD,2026-05-14 00:00:00,2026-08-28 00:00:00,2026-05-16 00:00:00,,0,1,0,0,,2026-08-01 00:00:00,,,0,0,0,0,243160929_106369,1,"HKLM\SOFTWARE\Microsoft\Office\16.0\Common\ProductVersion LastProduct = 16.0.4519.1000 
%ProgramFiles%\Common Files\Microsoft Shared\Office16\acecore.dll  Version is  16.0.5565.1000","Rosa, Alan",1
Due in 30 Days,EIS_Technical  & Identity Services,"8_Application_Rule:16519_AppToTower_SOURCEFIRE_EIS_Technical  & Identity Services_2025-09-22
Unknown",2025-09-22 00:00:00,SOURCEFIRE,"Bott, Brandon; Gerrick, Ryan",,,PCI,Yes,Low Risk (1-39),37,"EDR, PCI",2026-09-22 00:00:00,11827,,,,rri2sfhepl2p.corp.cvscaremark.com,10.18.126.204,80,HTTP Security Header Not Detected,,SourceFire,OTHER,"VAE_All_Assets,Internal IP Range,Retail_Assets,VAE-AutoScan-Weekly-CLD-Retail","Qualys_CSAM, SNOW, SolarWinds",CLD,2025-09-20 00:00:00,2026-08-22 00:00:00,2025-09-22 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,244068501_11827_80,1,"X-Content-Type-Options HTTP Header missing on port 80.

GET / HTTP/1.1
Host: 10.18.126.204
Connection: Keep-Alive
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0



!DOCTYPE HTML PUBLIC -//W3C//DTD HTML 4.01 Frameset//EN http://www.w3.org/TR/html4/frameset.dtd
html lang=en
head
meta http-equiv=Pragma content=no-cache
meta http-equiv=Expires content=-1
meta HTTP-EQUIV=content-type content=text/html; charset=UTF-8
link rel=icon type=image/png href=favicon.png/
titleEmerson Network Power Rack PDU Card/titlemeta name=generator content=Liebert Corporation 2000-2008
script language=JavaScript type=text/javascript src=./NicCookie_js.js/script
script language=JavaScript type=text/javascript 

var nicContext = new NicCookie(document, CnicContext, 8, /);
if(!nicContext.load())
{
// We&apos;ve failed to load so we need to store the newly
// initialized cookie context.
//alert(Storing initial mpx context);
nicContext.store();
}
var nicContext = new NicCookie(document, CnicContext, 8, /);
if(!nicContext.load())
{
// We&apos;ve failed to load so we need to store the newly
// initialized cookie context.
//alert(Storing initial mpx context);
nicContext.store();
}

// This script makes sure that our top level frame is not within
// some unknown frame which may mess up the viewability due to it
// being smaller than we need.  This would be useful if someone
// else has a link to this page within a frame window.
if (parent.location != self.location)
{
parent.location = self.location.href
}

// Define global application object.
var appObj = new Object();

//appObj.preferredColor=#31659c;
appObj.preferredColor=#31659c;
appObj.sessionSecurityNoticeDisplayed=false;
appObj.agentCommsOk=true;
appObj.deviceCurCommsOk=true;
appObj.deviceLastCommsOk=appObj.deviceCurCommsOk;

document.appObj= appObj;
/script
/head!-- Try to fit in a 580x350 space - border=no frameborder=0 framespacing=0 --
frameset rows=75,* framespacing=0 border=no 
frameset cols=200,* framespacing=0 border=no 
frame name=companyArea src=companyLogo.htm scrolling=no frameborder=0 marginwidth=0 marginheight=0 noresize
frame name=tabArea src=tabs/tabs.htm scrolling=no frameborder=0 marginwidth=0 marginheight=0 noresize
/framesetframe name=infoArea src=monitor/monitorLayout.htm scrolling=no frameborder=0 marginwidth=0 marginheight=0 noresize
/frameset/html-CR-","Rosa, Alan",0
Due in 30 Days,EIS_Technical  & Identity Services,"8_Application_Rule:16519_AppToTower_SOURCEFIRE_EIS_Technical  & Identity Services_2025-09-22
Unknown",2025-09-22 00:00:00,SOURCEFIRE,"Bott, Brandon; Gerrick, Ryan",,,PCI,Yes,Low Risk (1-39),37,"EDR, PCI",2026-09-22 00:00:00,11827,,,,rri2sfsippl1p.corp.cvscaremark.com,10.18.126.210,80,HTTP Security Header Not Detected,,SourceFire,OTHER,"VAE-AutoScan-Weekly-CLD-Retail,Retail_Assets,Internal IP Range,VAE_All_Assets","Qualys_CSAM, SNOW, SolarWinds",CLD,2025-09-20 00:00:00,2026-08-22 00:00:00,2025-09-22 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,244037741_11827_80,1,"X-Content-Type-Options HTTP Header missing on port 80.

GET / HTTP/1.1
Host: 10.18.126.210
Connection: Keep-Alive
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0



!DOCTYPE HTML PUBLIC -//W3C//DTD HTML 4.01 Frameset//EN http://www.w3.org/TR/html4/frameset.dtd
html lang=en
head
meta http-equiv=Pragma content=no-cache
meta http-equiv=Expires content=-1
meta HTTP-EQUIV=content-type content=text/html; charset=UTF-8
link rel=icon type=image/png href=favicon.png/
titleEmerson Network Power Rack PDU Card/titlemeta name=generator content=Liebert Corporation 2000-2008
script language=JavaScript type=text/javascript src=./NicCookie_js.js/script
script language=JavaScript type=text/javascript 

var nicContext = new NicCookie(document, CnicContext, 8, /);
if(!nicContext.load())
{
// We&apos;ve failed to load so we need to store the newly
// initialized cookie context.
//alert(Storing initial mpx context);
nicContext.store();
}
var nicContext = new NicCookie(document, CnicContext, 8, /);
if(!nicContext.load())
{
// We&apos;ve failed to load so we need to store the newly
// initialized cookie context.
//alert(Storing initial mpx context);
nicContext.store();
}

// This script makes sure that our top level frame is not within
// some unknown frame which may mess up the viewability due to it
// being smaller than we need.  This would be useful if someone
// else has a link to this page within a frame window.
if (parent.location != self.location)
{
parent.location = self.location.href
}

// Define global application object.
var appObj = new Object();

//appObj.preferredColor=#31659c;
appObj.preferredColor=#31659c;
appObj.sessionSecurityNoticeDisplayed=false;
appObj.agentCommsOk=true;
appObj.deviceCurCommsOk=true;
appObj.deviceLastCommsOk=appObj.deviceCurCommsOk;

document.appObj= appObj;
/script
/head!-- Try to fit in a 580x350 space - border=no frameborder=0 framespacing=0 --
frameset rows=75,* framespacing=0 border=no 
frameset cols=200,* framespacing=0 border=no 
frame name=companyArea src=companyLogo.htm scrolling=no frameborder=0 marginwidth=0 marginheight=0 noresize
frame name=tabArea src=tabs/tabs.htm scrolling=no frameborder=0 marginwidth=0 marginheight=0 noresize
/framesetframe name=infoArea src=monitor/monitorLayout.htm scrolling=no frameborder=0 marginwidth=0 marginheight=0 noresize
/frameset/html-CR-","Rosa, Alan",0
Due in 30 Days,EIS_Technical  & Identity Services,11_NoPath_Rule:0000_AppToTower_SOURCEFIRE_EIS_Technical  & Identity Services_2025-09-27,2025-09-27 00:00:00,SOURCEFIRE,"Bott, Brandon; Gerrick, Ryan",,,PCI,Yes,Low Risk (1-39),33,"EDR, PCI",2026-09-27 00:00:00,43593,,,,rri2sfhepl2p.corp.cvscaremark.com,10.18.126.204,80,Allegro RomPager Referer Cross Site Scripting (XSS) Vulnerability,"nist-nvd2, nvd",SourceFire,OTHER,"VAE_All_Assets,Internal IP Range,Retail_Assets,VAE-AutoScan-Weekly-CLD-Retail","Qualys_CSAM, SNOW, SolarWinds",CLD,2025-09-20 00:00:00,2026-08-22 00:00:00,2025-09-27 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,244068501_43593_80,1,"Allegro RomPager Referer Cross Site Scripting (XSS) Vulnerability detected on port: 80.
GET /QUALYSXSS HTTP/1.1
Host: 10.18.126.204
Connection: Keep-Alive
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0
Referer: scriptalert(QUALYSXSS123)/script","Rosa, Alan",0
Due in 30 Days,EIS_Technical  & Identity Services,11_NoPath_Rule:0000_AppToTower_SOURCEFIRE_EIS_Technical  & Identity Services_2025-09-27,2025-09-27 00:00:00,SOURCEFIRE,"Bott, Brandon; Gerrick, Ryan",,,PCI,Yes,Low Risk (1-39),33,"EDR, PCI",2026-09-27 00:00:00,43593,,,,rri2sfsippl1p.corp.cvscaremark.com,10.18.126.210,80,Allegro RomPager Referer Cross Site Scripting (XSS) Vulnerability,"nist-nvd2, nvd",SourceFire,OTHER,"VAE-AutoScan-Weekly-CLD-Retail,Retail_Assets,Internal IP Range,VAE_All_Assets","Qualys_CSAM, SNOW, SolarWinds",CLD,2025-09-20 00:00:00,2026-08-22 00:00:00,2025-09-27 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,244037741_43593_80,1,"Allegro RomPager Referer Cross Site Scripting (XSS) Vulnerability detected on port: 80.
GET /QUALYSXSS HTTP/1.1
Host: 10.18.126.210
Connection: Keep-Alive
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0
Referer: scriptalert(QUALYSXSS123)/script","Rosa, Alan",0
Due > 30 Days,EIS_Security Technology Services,"4_Title Search:%Qualys Cloud Agent% ApplicationMatch:_Rule:3828360_2026-01-06
Unknown",2026-01-06 00:00:00,PeopleSafe,"Bott, Brandon; Gerrick, Ryan; Twyman, Timothy; Sanchez, Manuel","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,Low Risk (1-39),24,"EDR, T2, PCI, AppEx, AppEX_SNOW",2027-01-06 00:00:00,385778,,,,trnwas2b.caremarkrx.net,10.93.14.24,,Qualys Cloud Agent Local Privilege Escalation Vulnerability,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2025-11-10 00:00:00,2026-08-28 00:00:00,2026-01-06 00:00:00,,1,0,0,0,2027-01-01 00:00:00,,,,1,0,0,0,225220643_385778,1,qualys-cloud-agent.rte_4.20.2.3,"Pal, Pushpendu",0
Due > 30 Days,EIS_Security Technology Services,"4_Title Search:%Qualys Cloud Agent% ApplicationMatch:_Rule:3828360_2026-01-06
Unknown",2026-01-06 00:00:00,RXDW,"Bott, Brandon; Gerrick, Ryan; Twyman, Timothy; Sanchez, Manuel","Winkler, Erik",,PCI,Yes,Low Risk (1-39),29,"EDR, PCI",2027-01-06 00:00:00,385778,,,,rri2pwhspa1.cvs.com,10.18.41.13,,Qualys Cloud Agent Local Privilege Escalation Vulnerability,,AIX 7.2 TL5,AIX,"FIM_Required,OS.AIX,VAE_All_Assets,Internal IP Range,RXDW ---139C1A4B5CA5B6D2,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-Retail,Cloud Agent","Qualys_CSAM, SNOW",CLD,2025-11-11 00:00:00,2026-08-27 00:00:00,2026-01-06 00:00:00,,1,0,0,0,2027-01-01 00:00:00,,,,1,0,0,0,236332004_385778,1,qualys-cloud-agent.rte_4.20.1.12,"Siva, Amaresh",0
Due > 30 Days,EIS_Security Technology Services,"4_Title Search:%Qualys Cloud Agent% ApplicationMatch:_Rule:3828360_2026-01-06
Unknown",2026-01-06 00:00:00,TIVOLI STORAGE MANAGER (TSM),"Bott, Brandon; Gerrick, Ryan; Twyman, Timothy; Sanchez, Manuel","Toelken, William","TIVOLI STORAGE MANAGER (TSM), TSM Backup Server",PCI,Yes,Low Risk (1-39),29,"EDR, PCI",2027-01-06 00:00:00,385778,,,,atsmm1p.iwhouse.aetna.com,167.69.210.53,,Qualys Cloud Agent Local Privilege Escalation Vulnerability,,AIX 7.3 TL4,AIX,"Cloud Agent,FIM_Required,OS.AIX,VAE_All_Assets,HCB_ASSETS,FIM - HCB to Cloud (All Asset) By IP,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2025-11-10 00:00:00,2026-08-27 00:00:00,2026-01-06 00:00:00,,1,0,0,0,2027-01-01 00:00:00,,,,1,0,0,0,243143402_385778,1,qualys-cloud-agent.rte_4.20.2.3,"Rosa, Alan",0
Due > 30 Days,EIS_Security Technology Services,"4_Title Search:%Qualys Cloud Agent% ApplicationMatch:_Rule:3828360_2026-01-06
Unknown",2026-01-06 00:00:00,TIVOLI STORAGE MANAGER (TSM),"Bott, Brandon; Gerrick, Ryan; Twyman, Timothy; Sanchez, Manuel","Toelken, William","TIVOLI STORAGE MANAGER (TSM), TSM Backup Server",PCI,Yes,Low Risk (1-39),29,"EDR, PCI",2027-01-06 00:00:00,385778,,,,atsmw4p.aetna.com,167.69.38.104,,Qualys Cloud Agent Local Privilege Escalation Vulnerability,,AIX 7.3 TL4,AIX,"Cloud Agent,FIM_Required,OS.AIX,VAE_All_Assets,All Aetna Domains,Internal IP Range,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450","Qualys_CSAM, SNOW",CLD,2025-11-11 00:00:00,2026-08-28 00:00:00,2026-01-06 00:00:00,,1,0,0,0,2027-01-01 00:00:00,,,,1,0,0,0,243158933_385778,1,qualys-cloud-agent.rte_4.20.2.3,"Rosa, Alan",0
Due > 30 Days,EIS_Security Technology Services,"4_Title Search:%Qualys Cloud Agent% ApplicationMatch:_Rule:3828360_2026-07-27
Unknown",2026-07-27 00:00:00,xCAT2,"Bott, Brandon; Gerrick, Ryan; Twyman, Timothy; Sanchez, Manuel","Figueroa, John",,PCI,Yes,Low Risk (1-39),29,"EDR, PCI",2027-07-27 00:00:00,385778,,,,asysm1a.aetna.com,167.69.210.17,,Qualys Cloud Agent Local Privilege Escalation Vulnerability,,AIX 7.3 TL3,AIX,,"Qualys_CSAM, SNOW",CLD,2026-07-24 00:00:00,2026-08-27 00:00:00,2026-07-27 00:00:00,,1,0,0,0,2027-07-01 00:00:00,,,,1,0,0,0,243138024_385778,1,qualys-cloud-agent.rte_4.20.2.3,"Rosa, Alan",0
