Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-07-23
Unknown",2025-07-23 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2025-10-21 00:00:00,330227,,,,rri2rxiada201.cvs.com,10.18.76.128,,IBM Advanced Interactive eXecutive (AIX) Libxml2 Multiple Vulnerabilities (libxml2_advisory9),nist-nvd2,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,tagset_2982450,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,Internal IP Range","Qualys_CSAM, SNOW",CLD,2025-07-22 00:00:00,2026-08-23 00:00:00,2025-07-23 00:00:00,,2,2,0,0,2026-07-01 00:00:00,2025-10-01 00:00:00,,,0,0,0,0,236366574_330227,4,"Package Installed Version Required Version
bos.rte.control 7.2.5.202 7.2.5.206","Ambrozie, Tony",4
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-07-23
Unknown",2025-07-23 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2025-10-21 00:00:00,330227,,,,rri2rxiada401.cvs.com,10.18.78.162,,IBM Advanced Interactive eXecutive (AIX) Libxml2 Multiple Vulnerabilities (libxml2_advisory9),nist-nvd2,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,tagset_2982450,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,Internal IP Range","Qualys_CSAM, SNOW",CLD,2025-07-22 00:00:00,2026-08-28 00:00:00,2025-07-23 00:00:00,,2,2,0,0,2026-07-01 00:00:00,2025-10-01 00:00:00,,,0,0,0,0,236366863_330227,4,"Package Installed Version Required Version
bos.rte.control 7.2.5.202 7.2.5.206","Ambrozie, Tony",4
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-07-23
Unknown",2025-07-23 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2025-10-21 00:00:00,330227,,,,rri1rxndpa3b.cvs.com,10.18.80.163,,IBM Advanced Interactive eXecutive (AIX) Libxml2 Multiple Vulnerabilities (libxml2_advisory9),nist-nvd2,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450","Qualys_CSAM, SNOW",CLD,2025-07-22 00:00:00,2026-08-28 00:00:00,2025-07-23 00:00:00,,2,2,0,0,2026-07-01 00:00:00,2025-10-01 00:00:00,,,0,0,0,0,236926692_330227,4,"Package Installed Version Required Version
bos.rte.control 7.2.5.202 7.2.5.206","Ambrozie, Tony",4
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-07-23
Unknown",2025-07-23 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2025-11-17 00:00:00,330228,,,,rri1rxndpa3b.cvs.com,10.18.80.163,,IBM Advanced Interactive eXecutive (AIX) Rpm Multiple Vulnerabilities (rpm_advisory3),,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450","Qualys_CSAM, SNOW",CLD,2025-07-22 00:00:00,2026-08-28 00:00:00,2025-07-23 00:00:00,,2,1,0,0,2026-07-01 00:00:00,2025-11-01 00:00:00,,,0,0,0,0,236926692_330228,3,"Package Installed Version Required Version
rpm.rte 4.15.1.1013 4.15.1.1016","Ambrozie, Tony",3
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:mountd RPC Daemon Discloses Exported Directories Accessed by Remote Hosts ApplicationMatch:_Rule:6344033_2026-04-07
11_NoPath_Rule:0000_AppToTower_INFRASTRUCTURE UNIX TECH SERVICE_TSS_RXCONNECT_UNIX_2025-10-05
Unknown",2026-04-07 00:00:00,INFRASTRUCTURE UNIX TECH SERVICE,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Shinde, Mangesh",,,,Medium Risk (40-59),40,EDR,2026-01-03 00:00:00,66036,,,,rri1rxnmpa2.cvs.com,10.18.104.124,,mountd RPC Daemon Discloses Exported Directories Accessed by Remote Hosts,,AIX 7.3 TL3,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,tagset_2982450,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,Internal IP Range","Qualys_CSAM, SNOW",CLD,2025-02-11 00:00:00,2026-08-22 00:00:00,2026-04-07 00:00:00,2025-10-04 00:00:00,0,1,0,0,,2026-01-01 00:00:00,,,0,0,0,0,236927820_66036,1,"Directory Hosts/Networks
/export/nim/images rri1rxfnpa50-mgt.cvs.com
/export/Vendor_Software rri2rxmqda301b.cvs.com
/export/Vendor_Software rri2rxmqda301a.cvs.com
/export/nim/spot/p10_spot_res_2/usr rri1rxcfpa39-vio2
/export/nim/spot/p10_spot_res_2/usr rri1rxcfpa39-vio1
/export/nim/spot/p10_spot_res_2/usr rri1rxcfpa38-vio2
/export/nim/spot/p10_spot_res_2/usr rri1rxcfpa38-vio1","Rosa, Alan",1
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-11-18
Unknown",2025-11-18 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2026-02-16 00:00:00,330234,,,,rri2rxiada201.cvs.com,10.18.76.128,,IBM Advanced Interactive eXecutive (AIX) Nim Multiple Vulnerabilities (nim_advisory2),,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,tagset_2982450,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,Internal IP Range","Qualys_CSAM, SNOW",CLD,2025-11-18 00:00:00,2026-08-23 00:00:00,2025-11-18 00:00:00,,1,5,0,0,2026-11-01 00:00:00,2026-02-01 00:00:00,,,1,0,0,0,236366574_330234,6,"Package Installed Version Required Version
bos.sysmgt.nim.client 7.2.5.201 7.2.5.205
bos.sysmgt.sysbr 7.2.5.201 7.2.5.205","Ambrozie, Tony",5
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-11-18
Unknown",2025-11-18 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2026-02-16 00:00:00,330234,,,,rri2rxiada401.cvs.com,10.18.78.162,,IBM Advanced Interactive eXecutive (AIX) Nim Multiple Vulnerabilities (nim_advisory2),,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,tagset_2982450,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,Internal IP Range","Qualys_CSAM, SNOW",CLD,2025-11-18 00:00:00,2026-08-28 00:00:00,2025-11-18 00:00:00,,1,5,0,0,2026-11-01 00:00:00,2026-02-01 00:00:00,,,1,0,0,0,236366863_330234,6,"Package Installed Version Required Version
bos.sysmgt.nim.client 7.2.5.201 7.2.5.205
bos.sysmgt.sysbr 7.2.5.201 7.2.5.205","Ambrozie, Tony",5
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-11-18
Unknown",2025-11-18 00:00:00,RXC INITIATE PNP,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Kaura, Ashwani","RXC INITIATE PNP, RxConnect",,,Medium Risk (40-59),52,EDR,2026-02-16 00:00:00,330234,,,,rri1rxndpa3b.cvs.com,10.18.80.163,,IBM Advanced Interactive eXecutive (AIX) Nim Multiple Vulnerabilities (nim_advisory2),,AIX 7.2 TL5,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450","Qualys_CSAM, SNOW",CLD,2025-11-18 00:00:00,2026-08-28 00:00:00,2025-11-18 00:00:00,,1,5,0,0,2026-11-01 00:00:00,2026-02-01 00:00:00,,,1,0,0,0,236926692_330234,6,"Package Installed Version Required Version
bos.sysmgt.nim.client 7.2.5.201 7.2.5.205
bos.sysmgt.sysbr 7.2.5.201 7.2.5.205","Ambrozie, Tony",5
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-11-18
Unknown",2025-11-18 00:00:00,CARE CHECK PLUS DPW,"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Bodapati, Narendra Prasad","CARE CHECK PLUS DPW, RXC PT, RxConnect",,,Medium Risk (40-59),52,EDR,2026-02-16 00:00:00,330234,,,,rri2rxsdda402.cvs.com,10.18.78.182,,IBM Advanced Interactive eXecutive (AIX) Nim Multiple Vulnerabilities (nim_advisory2),,AIX 7.3 TL3,AIX,"Retail_Assets,tagset_2982450,VAE_MSB_AutoTag_AGENT_AIX,Internal IP Range,VAE_All_Assets,OS.AIX,Cloud Agent","Qualys_CSAM, SNOW",CLD,2025-11-18 00:00:00,2026-08-28 00:00:00,2025-11-18 00:00:00,,1,5,0,0,2026-11-01 00:00:00,2026-02-01 00:00:00,,,1,0,0,0,248387697_330234,6,"Package Installed Version Required Version
bos.sysmgt.nim.client 7.3.3.0 7.3.3.2
bos.sysmgt.sysbr 7.3.3.0 7.3.3.2","Ambrozie, Tony",5
Overdue (60+ Days),ISTS-RXCONNECT UNIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-11-18
Unknown",2025-11-18 00:00:00,INFORMATICA (RETAIL),"Shinde, Mangesh; Mohammed, Abdul Jawad; Madugula, Pavan; Joseph, Sunny; Nampally, Arun; Paglione, Martin J; Thompson, Kevin","Pedapudi, Naga","INFORMATICA (RETAIL), RxConnect",,,Medium Risk (40-59),52,EDR,2026-02-16 00:00:00,330234,,,,rri2rxbtda402.cvs.com,10.18.78.143,,IBM Advanced Interactive eXecutive (AIX) Nim Multiple Vulnerabilities (nim_advisory2),,AIX 7.3 TL3,AIX,"Cloud Agent,OS.AIX,VAE_MSB_AutoTag_AGENT_AIX,Retail_Assets,Internal IP Range,VAE_All_Assets,tagset_2982450","Qualys_CSAM, SNOW",CLD,2025-11-18 00:00:00,2026-08-28 00:00:00,2025-11-18 00:00:00,,1,5,0,0,2026-11-01 00:00:00,2026-02-01 00:00:00,,,1,0,0,0,254531796_330234,6,"Package Installed Version Required Version
bos.sysmgt.nim.client 7.3.3.0 7.3.3.2
bos.sysmgt.sysbr 7.3.3.0 7.3.3.2","Siva, Amaresh",5
