Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
Overdue (60+ Days),ISTS-VMWARE,FROM TSS_AUTHEN TO TSS_VMWARE VIA Transfer ID: 4081 2024-08-23 11_NoPath_Rule:0000_AppToTower_DEVOLUTIONS_ETS_AUTHEN_2023-10-04,2024-08-23 00:00:00,VMWARE,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),48,PCI,2025-11-17 00:00:00,375580,Asset rank changed to PCI - 2022-09-09Asset rank changed to PCI - 2022-09-11Asset rank changed to PCI - 2022-10-28Asset rank changed to PCI - 2023-01-23Asset rank changed to PCI - 2023-02-17Asset rank changed to PCI - 2023-02-22Asset rank changed to PCI - 2023-02-26Asset rank changed to PCI - 2023-02-27Asset rank changed to PCI - 2023-03-04Asset rank changed to PCI - 2023-03-05Asset rank changed to PCI - 2023-03-09Asset rank changed to PCI - 2023-03-10Asset rank changed to PCI - 2023-03-11Asset rank changed to PCI - 2023-03-12Asset rank changed to PCI - 2023-03-13Asset rank changed to PCI - 2023-03-18Asset rank changed to PCI - 2023-03-19Asset rank changed to PCI - 2023-03-20Asset rank changed to PCI - 2023-03-21Asset rank changed to PCI - 2023-03-21Asset rank changed to PCI - 2023-03-25Asset rank changed to PCI - 2023-03-26Asset rank changed to PCI - 2023-04-01Asset rank changed to PCI - 2023-04-02Asset rank changed to PCI - 2023-04-08Asset rank changed to PCI - 2023-04-09Asset rank changed to PCI - 2023-04-11Asset rank changed to PCI - 2023-04-12Asset rank changed to PCI - 2023-04-15Asset rank changed to PCI - 2023-04-16Asset rank changed to PCI - 2023-04-17Asset rank changed to PCI - 2023-04-18Asset rank changed to PCI - 2023-04-22Asset rank changed to PCI - 2023-04-23Asset rank changed to PCI - 2023-04-30Asset rank changed to PCI - 2023-05-06Asset rank changed to PCI - 2023-05-07Asset rank changed to PCI - 2023-05-08Asset rank changed to PCI - 2023-05-09Asset rank changed to PCI - 2023-05-13Asset rank changed to PCI - 2023-05-15Asset rank changed to PCI - 2023-05-16Asset rank changed to PCI - 2023-05-17Asset rank changed to PCI - 2023-05-21Asset rank changed to PCI - 2023-05-24Asset rank changed to PCI - 2023-05-25Asset rank changed to PCI - 2023-05-26Asset rank changed to PCI - 2023-05-28,,,RRI2JMPPW5V.corp.cvscaremark.com,10.228.20.35,,SecureCRT Memory Corruption Vulnerability,"nist-nvd2, nvd, packetstorm",Windows Server 2019 Standard,Windows,"Internal IP Range,FIM Onboarding PCI asset - 16 May 2025 (Temp asset,Retail_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_Win2019,Cloud Agent,FIM_Required,OS.WinServer,VAE_All_Assets","CrowdStrike, Qualys_CSAM, ServerPatch, SNOW",CLD,2021-05-29 00:00:00,2026-08-28 00:00:00,2024-08-23 00:00:00,2021-09-25 00:00:00,0,1,0,0,,2025-11-01 00:00:00,,,0,0,0,0,236827818_375580,1,C:\Program Files\VanDyke Software\SecureCRT\SecureCRT.EXE  Version is  7.1.1.264,"Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2025-10-04
Unknown",2025-10-04 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-01-02 00:00:00,38169,,,,ppa4esxpl3p.corp.cvscaremark.com,10.84.58.31,8182,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,"VAE_All_Assets,Internal IP Range,PBM_Assets,VAE-AutoScan-Weekly-CLD-PBM,VAE_MSB_AutoTag_IP_VMWARE_PCI,NEW PBM esxi and vcenters,Confirmed accurate ESXI host's and V centers","Qualys_CSAM, SNOW",CLD,2025-09-05 00:00:00,2026-08-28 00:00:00,2025-10-04 00:00:00,,0,1,0,0,,2026-01-01 00:00:00,,,0,0,0,0,222448884_38169_8182,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2025-10-04
Unknown",2025-10-04 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-01-02 00:00:00,38169,,,,ppa4esxpl4p.corp.cvscaremark.com,10.84.58.32,5989,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,"NEW PBM esxi and vcenters,VAE_MSB_AutoTag_IP_VMWARE_PCI,VAE-AutoScan-Weekly-CLD-PBM,VAE_All_Assets,Internal IP Range,PBM_Assets,Confirmed accurate ESXI host's and V centers","Qualys_CSAM, SNOW",CLD,2025-09-05 00:00:00,2026-08-28 00:00:00,2025-10-04 00:00:00,,0,1,0,0,,2026-01-01 00:00:00,,,0,0,0,0,222865669_38169_5989,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2025-10-04
Unknown",2025-10-04 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-01-02 00:00:00,38169,,,,ppa4esxpl4p.corp.cvscaremark.com,10.84.58.32,8182,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,"NEW PBM esxi and vcenters,VAE_MSB_AutoTag_IP_VMWARE_PCI,VAE-AutoScan-Weekly-CLD-PBM,VAE_All_Assets,Internal IP Range,PBM_Assets,Confirmed accurate ESXI host's and V centers","Qualys_CSAM, SNOW",CLD,2025-09-05 00:00:00,2026-08-28 00:00:00,2025-10-04 00:00:00,,0,1,0,0,,2026-01-01 00:00:00,,,0,0,0,0,222865669_38169_8182,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2025-10-04
Unknown",2025-10-04 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-01-02 00:00:00,38169,,,,ppa4esxpl3p.corp.cvscaremark.com,10.84.58.31,5989,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,"VAE_All_Assets,Internal IP Range,PBM_Assets,VAE-AutoScan-Weekly-CLD-PBM,VAE_MSB_AutoTag_IP_VMWARE_PCI,NEW PBM esxi and vcenters,Confirmed accurate ESXI host's and V centers","Qualys_CSAM, SNOW",CLD,2025-09-05 00:00:00,2026-08-28 00:00:00,2025-10-04 00:00:00,,0,1,0,0,,2026-01-01 00:00:00,,,0,0,0,0,222448884_38169_5989,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2026-02-25
8_Application_Rule:20298_2026-02-24",2026-02-25 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-05-26 00:00:00,38169,,,,ptx5esxpl6p.corp.cvscaremark.com,10.113.16.32,8182,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,,"Qualys_CSAM, SNOW",CLD,2026-02-24 00:00:00,2026-08-28 00:00:00,2026-02-25 00:00:00,,0,1,0,0,,2026-05-01 00:00:00,,,0,0,0,0,294461616_38169_8182,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2026-02-25
8_Application_Rule:20298_2026-02-24",2026-02-25 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-05-26 00:00:00,38169,,,,ptx5esxpl6p.corp.cvscaremark.com,10.113.16.32,5989,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,,"Qualys_CSAM, SNOW",CLD,2026-02-24 00:00:00,2026-08-28 00:00:00,2026-02-25 00:00:00,,0,1,0,0,,2026-05-01 00:00:00,,,0,0,0,0,294461616_38169_5989,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2026-02-25
8_Application_Rule:20298_2026-02-24",2026-02-25 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-05-26 00:00:00,38169,,,,ptx5esxpl5p.corp.cvscaremark.com,10.113.16.31,5989,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,,"Qualys_CSAM, SNOW",CLD,2026-02-23 00:00:00,2026-08-28 00:00:00,2026-02-25 00:00:00,,0,1,0,0,,2026-05-01 00:00:00,,,0,0,0,0,294670995_38169_5989,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue (60+ Days),ISTS-VMWARE,"1_OS_Rule:4585913_2026-02-25
8_Application_Rule:20298_2026-02-24",2026-02-25 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-05-26 00:00:00,38169,,,,ptx5esxpl5p.corp.cvscaremark.com,10.113.16.31,8182,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,,"Qualys_CSAM, SNOW",CLD,2026-02-23 00:00:00,2026-08-28 00:00:00,2026-02-25 00:00:00,,0,1,0,0,,2026-05-01 00:00:00,,,0,0,0,0,294670995_38169_8182,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
Overdue,ISTS-VMWARE,"1_OS_Rule:4585913_2026-04-21
Unknown",2026-04-21 00:00:00,ESX Systems - PCI,"Wong, Jeffrey; Chennupati; Venkatesh; Ryan, Jason; Arshad, Laraib; Lee, Earnest; Wildman, Steven; Platia, Nicholas; Miller, Mechelle","Chennupati, Venkatesh",,PCI,Yes,Medium Risk (40-59),56,"EDR, PCI",2026-07-20 00:00:00,38169,,,,paz1esxpl787.corp.cvscaremark.com,10.93.252.36,5989,SSL Certificate - Self-Signed Certificate,,VMware ESXi 8.0.3 build 25067014,VMWare,,"Qualys_CSAM, SNOW",CLD,2025-07-19 00:00:00,2026-08-28 00:00:00,2026-04-21 00:00:00,2026-04-21 00:00:00,0,1,0,0,,2026-07-01 00:00:00,,,0,0,0,0,222454280_38169_5989,1,"Certificate #1 OU=VMware_Engineering,O=paz1vcpl10v.corp.cvscaremark.com,ST=California,C=US,DC=SSO.COM,DC=PCI,CN=paz1vcpl10v.corp.cvscaremark.com  is a self signed certificate.","Rosa, Alan",1
