Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
Overdue (60+ Days),ISTS-AIX,"4_Title Search:Sudo Heap-based Buffer Overflow Vulnerability% ApplicationMatch:_Rule:968340_2023-10-03
Unknown",2023-10-03 00:00:00,ENTERPRISE PATIENT HUB (EPH),"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Nagarajan, Krishnamurthy",,PCI,Yes,High Risk (60-79),76,"EDR, T1, PCI",2023-11-02 00:00:00,374891,,,,rri1ephapa1.cvs.com,10.220.161.61,,Sudo Heap-based Buffer Overflow Vulnerability (Baron Samedit) (Generic),"blogs, Core Security, The Exploit-DB, vulncheck-initial-access, nist-nvd2, exploitdb, nuclei-templates, nvd, packetstorm, canvas, metasploit, vulncheck-threat-actors, 0day.today, github-exploits, coreimpact, cisa-kev, gist, gitlab-exploits, gitee-exploits",AIX 7.2 TL5,AIX,"Internal IP Range,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,Cloud Agent,FIM_Required,OS.AIX,VAE_All_Assets","Qualys_CSAM, SNOW",CLD,2023-02-11 00:00:00,2026-08-28 00:00:00,2023-10-03 00:00:00,,0,0,1,0,,,2023-11-01 00:00:00,,0,0,0,0,236331064_374891,1,"Sudo version 1.8.20p1
Sudoers policy plugin version 1.8.20p1
Sudoers file grammar version 46
Sudoers I/O plugin version 1.8.20p1

sudoedit: /: not a regular file","Siva, Amaresh",1
Overdue (60+ Days),ISTS-NETWORK,"1_OS_Rule:2410563_2025-08-24
Unknown",2025-08-24 00:00:00,Network,"Renner, Frederick; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI, SNMP",2024-11-07 00:00:00,121695,,,,rriwsdcaccsf02backup,10.18.104.7,,"NTP ""monlist"" Feature Denial of Service Vulnerability","metasploit, vulncheck-threat-actors, The Exploit-DB, Metasploit, 0day.today, github-exploits, Qualys, exploitdb, packetstorm",Cisco NX-OS v5.2(9),Network,"Retail_Assets,Retail - Cisco - VAE Auth Troubleshooting,Retail - Cisco - RxConnect,VAE-AutoScan-Weekly-CLD-Retail,VAE_All_Assets,Internal IP Range","Qualys_CSAM, SolarWinds",CLD,2024-08-09 00:00:00,2026-08-22 00:00:00,2025-08-24 00:00:00,,0,0,1,0,,,2024-11-01 00:00:00,,0,0,0,0,237054159_121695,1,QID: 121695 detected on port 123 over UDP.,,1
Overdue (60+ Days),ISTS-NETWORK,"1_OS_Rule:2410563_2025-08-24
Unknown",2025-08-24 00:00:00,Network,"Renner, Frederick; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI, SNMP",2024-11-07 00:00:00,121695,,,,rriwsdcaccsf04backup,10.18.104.8,,"NTP ""monlist"" Feature Denial of Service Vulnerability","metasploit, vulncheck-threat-actors, The Exploit-DB, Metasploit, 0day.today, github-exploits, Qualys, exploitdb, packetstorm",Cisco NX-OS v5.2(9),Network,"VAE_All_Assets,Internal IP Range,Retail_Assets,Retail - Cisco - VAE Auth Troubleshooting,Retail - Cisco - RxConnect,VAE-AutoScan-Weekly-CLD-Retail","Qualys_CSAM, SolarWinds",CLD,2024-08-09 00:00:00,2026-08-22 00:00:00,2025-08-24 00:00:00,,0,0,1,0,,,2024-11-01 00:00:00,,0,0,0,0,237039174_121695,1,QID: 121695 detected on port 123 over UDP.,,1
Overdue (60+ Days),ISTS-AIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-07-23
Unknown",2025-07-23 00:00:00,ENTERPRISE PATIENT HUB (EPH),"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Nagarajan, Krishnamurthy",,PCI,Yes,High Risk (60-79),73,"EDR, T1, PCI",2025-09-18 00:00:00,330228,,,,rri1ephapa2.cvs.com,10.220.161.67,,IBM Advanced Interactive eXecutive (AIX) Rpm Multiple Vulnerabilities (rpm_advisory3),,AIX 7.2 TL5,AIX,"VAE_All_Assets,Internal IP Range,Retail_Assets,OS.AIX,tagset_2982450,Cloud Agent,FIM_Required,VAE_MSB_AutoTag_AGENT_AIX","Qualys_CSAM, SNOW",CLD,2025-07-22 00:00:00,2026-08-28 00:00:00,2025-07-23 00:00:00,,2,0,1,0,2026-07-01 00:00:00,,2025-09-01 00:00:00,,0,0,0,0,236367161_330228,3,"Package Installed Version Required Version
rpm.rte 4.15.1.1013 4.15.1.1016","Siva, Amaresh",3
Overdue (60+ Days),ISTS-AIX,"4_Title Search:IBM Advanced Interactive eXecutive (AIX)% ApplicationMatch:_Rule:1582820_2025-07-23
Unknown",2025-07-23 00:00:00,ENTERPRISE PATIENT HUB (EPH),"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Nagarajan, Krishnamurthy",,PCI,Yes,High Risk (60-79),73,"EDR, T1, PCI",2025-09-18 00:00:00,330228,,,,rri1ephapa1.cvs.com,10.220.161.61,,IBM Advanced Interactive eXecutive (AIX) Rpm Multiple Vulnerabilities (rpm_advisory3),,AIX 7.2 TL5,AIX,"Internal IP Range,Retail_Assets,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,Cloud Agent,FIM_Required,OS.AIX,VAE_All_Assets","Qualys_CSAM, SNOW",CLD,2025-07-22 00:00:00,2026-08-28 00:00:00,2025-07-23 00:00:00,,2,0,1,0,2026-07-01 00:00:00,,2025-09-01 00:00:00,,0,0,0,0,236331064_330228,3,"Package Installed Version Required Version
rpm.rte 4.15.1.1013 4.15.1.1016","Siva, Amaresh",3
Overdue (60+ Days),ISTS-NETWORK-F5,1_OS_Rule:532658_2025-10-17,2025-10-17 00:00:00,Network_F5,"Polyak, Richard; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI",2025-11-16 00:00:00,38913,Under investigation by F5 Ops team. (AETH\A846211),,,scd-f5-rhost-int-03.cvshealth.com,10.10.109.105,22,SSH Prefix Truncation Vulnerability (Terrapin),"vulncheck-threat-actors, nist-nvd2, nuclei-templates, packetstorm",F5 rSeries-r5900,Network_F5,"VAE_All_Assets,Internal IP Range,Linux,PBM_Assets,tagset_2982450,VAE-AutoScan-Weekly-CLD-PBM","Qualys_CSAM, SolarWinds",CLD,2025-10-15 00:00:00,2026-08-22 00:00:00,2025-10-17 00:00:00,,0,0,1,0,,,2025-11-01 00:00:00,,0,0,0,0,252718626_38913_22,1,"SSH Prefix Truncation Vulnerability (Terrapin) detected on port: 22
ChaCha20-Poly1305 Algorithm Support: False
CBC-EtM Algorithm Support: True
Strict Key Exchange algorithm enabled: False",,1
Overdue (60+ Days),ISTS-NETWORK-F5,1_OS_Rule:532658_2025-10-17,2025-10-17 00:00:00,Network_F5,"Polyak, Richard; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI",2025-11-16 00:00:00,38913,Under investigation by F5 Ops team. (AETH\A846211),,,scd-f5-rhost-int-06.cvshealth.com,10.10.109.237,22,SSH Prefix Truncation Vulnerability (Terrapin),"vulncheck-threat-actors, nist-nvd2, nuclei-templates, packetstorm",F5 rSeries-r5900,Network_F5,"VAE_All_Assets,Linux,Internal IP Range,PBM_Assets,tagset_2982450,VAE-AutoScan-Weekly-CLD-PBM","Qualys_CSAM, SolarWinds",CLD,2025-10-15 00:00:00,2026-08-22 00:00:00,2025-10-17 00:00:00,,0,0,1,0,,,2025-11-01 00:00:00,,0,0,0,0,252684803_38913_22,1,"SSH Prefix Truncation Vulnerability (Terrapin) detected on port: 22
ChaCha20-Poly1305 Algorithm Support: False
CBC-EtM Algorithm Support: True
Strict Key Exchange algorithm enabled: False",,1
Overdue (60+ Days),ISTS-NETWORK-F5,1_OS_Rule:532658_2025-10-17,2025-10-17 00:00:00,Network_F5,"Polyak, Richard; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI",2025-11-16 00:00:00,38913,Under investigation by F5 Ops team. (AETH\A846211),,,scd-f5-rhost-int-06.cvshealth.com,10.10.109.237,7001,SSH Prefix Truncation Vulnerability (Terrapin),"vulncheck-threat-actors, nist-nvd2, nuclei-templates, packetstorm",F5 rSeries-r5900,Network_F5,"VAE_All_Assets,Linux,Internal IP Range,PBM_Assets,tagset_2982450,VAE-AutoScan-Weekly-CLD-PBM","Qualys_CSAM, SolarWinds",CLD,2025-10-15 00:00:00,2026-08-22 00:00:00,2025-10-17 00:00:00,,0,0,1,0,,,2025-11-01 00:00:00,,0,0,0,0,252684803_38913_7001,1,"SSH Prefix Truncation Vulnerability (Terrapin) detected on port: 7001
ChaCha20-Poly1305 Algorithm Support: False
CBC-EtM Algorithm Support: True
Strict Key Exchange algorithm enabled: False",,1
Overdue (60+ Days),ISTS-NETWORK-F5,1_OS_Rule:532658_2025-10-17,2025-10-17 00:00:00,Network_F5,"Polyak, Richard; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI",2025-11-16 00:00:00,38913,Under investigation by F5 Ops team. (AETH\A846211),,,scd-f5-rhost-int-03.cvshealth.com,10.10.109.105,7001,SSH Prefix Truncation Vulnerability (Terrapin),"vulncheck-threat-actors, nist-nvd2, nuclei-templates, packetstorm",F5 rSeries-r5900,Network_F5,"VAE_All_Assets,Internal IP Range,Linux,PBM_Assets,tagset_2982450,VAE-AutoScan-Weekly-CLD-PBM","Qualys_CSAM, SolarWinds",CLD,2025-10-15 00:00:00,2026-08-22 00:00:00,2025-10-17 00:00:00,,0,0,1,0,,,2025-11-01 00:00:00,,0,0,0,0,252718626_38913_7001,1,"SSH Prefix Truncation Vulnerability (Terrapin) detected on port: 7001
ChaCha20-Poly1305 Algorithm Support: False
CBC-EtM Algorithm Support: True
Strict Key Exchange algorithm enabled: False",,1
Overdue (60+ Days),ISTS-NETWORK-F5,"1_OS_Rule:532658_2025-11-07
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-07
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-06
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-05
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-04
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-03
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-02
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-11-01
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-31
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-30
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-29
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-28
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-27
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-26
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-25
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-24
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-24
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-23
11_NoPath_Rule:0000_AppToTower_Network_F5_NoAppToTower_Network_F5_2025-10-22",2025-11-07 00:00:00,Network_F5,"Polyak, Richard; Morley, Scott; Miller, Mechelle; Tufte, Kevin",,,PCI,Yes,High Risk (60-79),79,"EDR, PCI",2025-12-07 00:00:00,38913,Under investigation by F5 Ops team. (AETH\A846211),,,scd-f5-rhost-int-04.cvshealth.com,10.10.109.127,22,SSH Prefix Truncation Vulnerability (Terrapin),"vulncheck-threat-actors, nist-nvd2, nuclei-templates, packetstorm",F5 rSeries-r5900,Network_F5,"VAE-AutoScan-Weekly-CLD-PBM,tagset_2982450,PBM_Assets,Internal IP Range,VAE_All_Assets,Linux","Qualys_CSAM, SolarWinds",CLD,2025-10-15 00:00:00,2026-08-22 00:00:00,2025-11-07 00:00:00,,0,0,1,0,,,2025-12-01 00:00:00,,0,0,0,0,252695264_38913_22,1,"SSH Prefix Truncation Vulnerability (Terrapin) detected on port: 22
ChaCha20-Poly1305 Algorithm Support: False
CBC-EtM Algorithm Support: True
Strict Key Exchange algorithm enabled: False",,1
