Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_CVS Park_TSS_CLOUD_2025-02-25
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-25
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-24
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-24
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-23
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-22
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-21
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-20
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-19
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-18
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-17
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-16
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-15
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-14
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-13
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-12
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-11
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-10
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-09
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-08
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-07
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-06
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-05
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-04
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-03
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-02
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-02-01
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-31
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-30
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-29
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-28
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-27
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-26
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-25
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-24
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-23
10_LogicMatch_Rule:3585856_AppToTower_CVS Park_NoAppToTower_CVS Park_2025-01-22
Unknown",2026-07-17 00:00:00,,"Bates, William; Paglione, Martin; Thompson, Kevin",,,,,Medium Risk (40-59),50,,2025-11-17 00:00:00,106247,Controlled Decom Target: 2026-09-02: Status: N/A,,,EAC2CVSADW15V.corp.cvscaremark.com,10.229.98.38,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022 Datacenter,Windows,"Cloud Agent,AZURE_CVS_ORG,OS.WinServer,AT:Azure_eastus2-region,VAE_MSB_AutoTag_AGENT_Win2022,VAE_All_Assets,GT_AZURE_HCB_USE2,Internal IP Range,PBM_Assets,AZURE_RUNNING_SERVERS","CrowdStrike, Qualys_CSAM, ServerPatchDelete",CLD,2025-01-21 00:00:00,2026-08-20 00:00:00,2026-07-17 00:00:00,,0,1,0,0,,2025-11-01 00:00:00,,,0,0,0,0,164336202_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected",,1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_ExpressCloud_TSS_CLOUD_2025-11-18
Unknown",2026-07-17 00:00:00,ExpressCloud,"Bates, William; Paglione, Martin; Thompson, Kevin","Murray, Christopher",,,,High Risk (60-79),63,EDR,2025-12-18 00:00:00,106247,,,,EAC4RPIADW11V.corp.cvscaremark.com,10.229.173.212,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022,Windows,"AZURE_RUNNING_SERVERS,VAE_All_Assets,GT_AZURE_HCB_USC,Internal IP Range,AT:Azure_central-region,Cloud Agent,AZURE_CVS_ORG,OS.WinServer,VAE_MSB_AutoTag_AGENT_Win2022","Qualys_CSAM, ServerPatch, SNOW, WIZ_Cloud",CLD,2025-11-17 00:00:00,2026-08-27 00:00:00,2026-07-17 00:00:00,,0,0,1,0,,,2025-12-01 00:00:00,,0,0,0,0,235809893_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected","Rosa, Alan",1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_ExpressCloud_TSS_CLOUD_2025-11-18
Unknown",2026-07-17 00:00:00,ExpressCloud,"Bates, William; Paglione, Martin; Thompson, Kevin","Murray, Christopher",,,,High Risk (60-79),63,,2025-12-18 00:00:00,106247,,,,maztapxcyvqs02.aeth.aetna.com,10.229.49.20,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022 Datacenter,Windows,"Cloud Agent,AZURE_CVS_ORG,OS.WinServer,AT:Azure_eastus2-region,AZURE_RUNNING_SERVERS,VAE-AutoScan-Weekly-CLD-PBM,All Aetna Domains,GT_AZURE_HCB_USE2,Internal IP Range,PBM_Assets,VAE_MSB_AutoTag_AGENT_Win2022,VAE_All_Assets","CrowdStrike, Qualys_CSAM, ServerPatch, SNOW, WIZ_Cloud",CLD,2025-11-17 00:00:00,2026-08-27 00:00:00,2026-07-17 00:00:00,,0,0,1,0,,,2025-12-01 00:00:00,,0,0,0,0,144195940_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected","Rosa, Alan",1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_CVS Park_TSS_CLOUD_2025-10-04
10_LogicMatch_Rule:3585856_2025-10-03",2026-07-17 00:00:00,,"Bates, William; Paglione, Martin; Thompson, Kevin",,,,,Medium Risk (40-59),50,,2026-01-02 00:00:00,106247,Controlled Decom Target: 2026-09-02: Status: N/A,,,EAC2CVSADW14V.corp.cvscaremark.com,10.229.98.39,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022 Datacenter,Windows,"Internal IP Range,Cloud Agent,Retail_Assets,VAE_MSB_AutoTag_AGENT_Win2022,PBM_Assets,OS.WinServer,AT:Azure_eastus2-region,AZURE_RUNNING_SERVERS,VAE_All_Assets,GT_AZURE_HCB_USE2","CrowdStrike, Qualys_CSAM, ServerPatchDelete",CLD,2025-10-02 00:00:00,2026-08-20 00:00:00,2026-07-17 00:00:00,,0,1,0,0,,2026-01-01 00:00:00,,,0,0,0,0,248375722_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected",,1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 8_Application_Rule:914444_AppToTower_ExpressCloud_TSS_CLOUD_2025-12-17
Unknown",2026-07-17 00:00:00,,"Bates, William; Paglione, Martin; Thompson, Kevin",,,,,High Risk (60-79),63,,2026-01-16 00:00:00,105095,Controlled Decom Target: 2026-02-04: Status: Powered off,,,eac4vabadl14.corp.cvscaremark.com,10.229.174.202,,User(s) With Blank Password,,RHEL 9.8,Linux,"VAE-AutoScan-Weekly-CLD-PBM,tagset_2982450,VAE_MSB_AutoTag_AGENT_RHEL9,PBM_Assets,Internal IP Range,Linux,GT_AZURE_HCB_USC,VAE_All_Assets,OS.LinuxServer,AZURE_RUNNING_SERVERS,Cloud Agent,AT:Azure_central-region","CrowdStrike, Qualys_CSAM, Satellite, SNOW",CLD,2025-12-16 00:00:00,2026-08-20 00:00:00,2026-07-17 00:00:00,,0,0,1,0,,,2026-01-01 00:00:00,,0,0,0,0,273431480_105095,1,root::20438:7::7:::,,1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_CVS Park_TSS_CLOUD_2025-11-05
10_LogicMatch_Rule:3585856_2025-11-04",2026-07-17 00:00:00,CVS Park,"Bates, William; Paglione, Martin; Thompson, Kevin","Ministro, Billy",,,,Medium Risk (40-59),50,,2026-02-03 00:00:00,106247,Controlled Decom Target: 2025-07-30: Status: Powered off,,,EAC2CVSADW13V.corp.cvscaremark.com,10.229.98.39,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022 Datacenter,Windows,"Cloud Agent,OS.WinServer,AT:Azure_eastus2-region,AZURE_RUNNING_SERVERS,VAE_MSB_AutoTag_AGENT_Win2022,GT_AZURE_HCB_USE2,Internal IP Range,PBM_Assets,VAE_All_Assets","CrowdStrike, Qualys_CSAM, ServerPatch",CLD,2025-11-03 00:00:00,2026-08-24 00:00:00,2026-07-17 00:00:00,,0,1,0,0,,2026-02-01 00:00:00,,,0,0,0,0,258233691_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected","Rosa, Alan",1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_CVS Park_TSS_CLOUD_2025-12-05
Unknown",2026-07-17 00:00:00,,"Bates, William; Paglione, Martin; Thompson, Kevin",,,,,Medium Risk (40-59),50,,2026-03-05 00:00:00,106247,Controlled Decom Target: 2025-08-13: Status: Powered off,,,eac2cvsadw11v.corp.cvscaremark.com,10.229.98.41,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022 Datacenter,Windows,"AZURE_RUNNING_SERVERS,AT:Azure_eastus2-region,OS.WinServer,Cloud Agent,VAE_All_Assets,GT_AZURE_HCB_USE2,Internal IP Range,VAE_MSB_AutoTag_AGENT_Win2022,PBM_Assets","CrowdStrike, Qualys_CSAM, ServerPatchDelete",CLD,2025-12-04 00:00:00,2026-08-20 00:00:00,2026-07-17 00:00:00,,0,1,0,0,,2026-03-01 00:00:00,,,0,0,0,0,258327554_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected",,1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-LINUX TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14922 2026-08-06 4_Title Search:%Red Hat% ApplicationMatch:_Rule:1076021_2025-12-30
Unknown",2026-08-06 00:00:00,Secure Cloud Hub,"Bates, William; Paglione, Martin; Thompson, Kevin","Kuliqi, Blerim",,,,Medium Risk (40-59),50,,2026-03-30 00:00:00,240583,"Server not registered in CMDB, change cannot be created to add this server for patching. Transfer Ticket #14922 Successfully Submitted  (CVS\C867564) Controlled Decom Target: 2025-05-21: Status: Powered off",,,xmcldacer01b2d.aetna.com,10.159.11.175,,Red Hat Update for pcre2 (RHSA-2022:5809),,RHEL 8.10,Linux,"AG:Azure_eastus2,OS.LinuxServer,VAE_All_Assets,All Aetna Domains,GT_AZURE_HCB_USE2,Linux,Internal IP Range,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_RHEL8,tagset_2982450,Cloud Agent,RHEL,all_linux,AZURE_CVS_ORG,AT:Azure_eastus2-region,AZURE_RUNNING_SERVERS","CrowdStrike, Qualys_CSAM, Satellite, SNOW, WIZ_Cloud",CLD,2025-06-23 00:00:00,2026-08-27 00:00:00,2026-08-06 00:00:00,2025-12-30 00:00:00,0,1,0,0,,2026-03-01 00:00:00,,,0,0,0,0,18837543_240583,1,"Package Installed Version Required Version
pcre2 10.32-2.el8.x86_64 10.32-3.el8_6
pcre2-utf16 10.32-2.el8.x86_64 10.32-3.el8_6","Rosa, Alan",1
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-LINUX TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14922 2026-08-06 4_Title Search:%Red Hat% ApplicationMatch:_Rule:1076021_2025-12-30
Unknown",2026-08-06 00:00:00,Secure Cloud Hub,"Bates, William; Paglione, Martin; Thompson, Kevin","Kuliqi, Blerim",,,,Medium Risk (40-59),43,,2026-03-31 00:00:00,239785,"Server not registered in CMDB, change cannot be created to add this server for patching. Transfer Ticket #14922 Successfully Submitted  (CVS\C867564) Controlled Decom Target: 2025-05-21: Status: Powered off",,,xmcldacer01b2d.aetna.com,10.159.11.175,,Red Hat Update for gnutls and nettle security (RHSA-2021:4451),"nist-nvd2, nvd",RHEL 8.10,Linux,"AG:Azure_eastus2,OS.LinuxServer,VAE_All_Assets,All Aetna Domains,GT_AZURE_HCB_USE2,Linux,Internal IP Range,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_RHEL8,tagset_2982450,Cloud Agent,RHEL,all_linux,AZURE_CVS_ORG,AT:Azure_eastus2-region,AZURE_RUNNING_SERVERS","CrowdStrike, Qualys_CSAM, Satellite, SNOW, WIZ_Cloud",CLD,2025-06-23 00:00:00,2026-08-27 00:00:00,2026-08-06 00:00:00,2025-12-30 00:00:00,1,2,0,0,2026-12-01 00:00:00,2026-03-01 00:00:00,,,1,0,0,0,18837543_239785,3,"Package Installed Version Required Version
nettle 3.4.1-4.el8_3.x86_64 3.4.1-7.el8","Rosa, Alan",2
Overdue (60+ Days),ISTS-CLOUD ENGINEERING,"FROM ISTS-CLOUD TO ISTS-CLOUD ENGINEERING VIA Transfer ID: 14770 2026-07-17 10_LogicMatch_Rule:3585856_AppToTower_CVS Park_TSS_CLOUD_2026-02-08
Unknown",2026-07-17 00:00:00,,"Bates, William; Paglione, Martin; Thompson, Kevin",,,,,Medium Risk (40-59),50,,2026-05-09 00:00:00,106247,,,,EAC2CVSDDW12V.corp.cvscaremark.com,10.229.98.37,,EOL/Obsolete Software: Microsoft .Net Version 6 Detected,,Windows Server 2022 Datacenter,Windows,"Internal IP Range,VAE_MSB_AutoTag_AGENT_Win2022,GT_AZURE_HCB_USE2,VAE_All_Assets,Cloud Agent,OS.WinServer,AT:Azure_eastus2-region,AZURE_RUNNING_SERVERS","CrowdStrike, Qualys_CSAM, ServerPatchDelete",CLD,2026-02-07 00:00:00,2026-08-20 00:00:00,2026-07-17 00:00:00,,0,1,0,0,,2026-05-01 00:00:00,,,0,0,0,0,258317843_106247,1,"f1dd57165bfd91875761329ac3a8b17f6606ad18
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.NETCore.App\6.0.36\.version
64ea4108e7dcf1ca575f8dd2028363b0b1ef6ebc
6.0.36

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\6.0.36\.version
EOL/Obsolete Software: Microsoft .Net Version 6 Detected",,1
