Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
No Due Date,Unknown,10_LogicMatch_Rule:181170_2026-08-28,2026-08-28 00:00:00,,,,,PCI,Yes,High Risk (60-79),68,"EDR, PCI",,106032,,,,prdppa2a.caremarkrx.net,10.93.25.140,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"VAE-AutoScan-Weekly-CLD-HCB,Cloud Agent,FIM_Required,OS.AIX,tagset_2982450,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_All_Assets","Qualys_CSAM, SNOW",CLD,2025-08-06 00:00:00,2026-08-28 00:00:00,2026-08-28 00:00:00,,0,0,1,0,,,,,0,0,1,0,225215432_106032,1,/opt4/bea/wlserver_10.3/server/lib/consoleapp/APP-INF/lib/log4j-1.2.8.jar,,0
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R12,1,/appl/client_server/vers/shared/ecs5/lib/log4j-1.2.8.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R15,1,/appl/client_server/vers/shared/cte/log4j-1.2.16.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 REVERT TRANSFER: TSS_MIDDLEWARE_WEBENG TO CEA - MaCE VIA Transfer ID: 14254 2026-03-26 FROM CEA - MaCE TO TSS_MIDDLEWARE_WEBENG VIA Transfer ID: 14254 2026-03-24 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R18,1,/appl/client_server/vers/shared/cmp/eob/log4j-1.2.8.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R10,1,/appl/client_server/vers/shared/keystore/RebateUICashReconWeb/LocalAppAccChngDoc/log4j-1.2.14.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R22,1,/appl/client_server/vers/shared.backup/opsinfra/log4j-1.2.14.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R29,1,/appl/client_server/vers/shared.backup/ecd/log4j-1.2.15.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%Log4j% Results:%/WEB-INF/lib/log4j%_Rule:1087675_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%Log4j% Results:%/WEB-INF/lib/log4j%_Rule:1087675_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R33,1,/appl/client_server/vers/installedapps/PDMWebServEAR.ear/PDMWebServProject.war/WEB-INF/lib/log4j-1.2.8.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R14,1,/appl/client_server/vers/shared/ecd/log4j-1.2.15.jar,"Ambrozie, Tony",1
Overdue (60+ Days),ISTS-AIX,"FROM CEA - MaCE TO ISTS-AIX VIA Transfer ID: 14497 2026-05-14 REVERT TRANSFER: ISTS-MIDDLEWARE WEBENG TO CEA - MaCE VIA Transfer ID: 14376 2026-05-05 FROM CEA - MaCE TO ISTS-MIDDLEWARE WEBENG VIA Transfer ID: 14376 2026-04-23 REVERT TRANSFER: TSS_MIDDLEWARE_WEBENG TO CEA - MaCE VIA Transfer ID: 14254 2026-03-26 FROM CEA - MaCE TO TSS_MIDDLEWARE_WEBENG VIA Transfer ID: 14254 2026-03-24 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
FROM PCW Tech & Digital - Order Placement & Fulfillment TO Digital-Support Services VIA Transfer ID: 7846 2024-10-23 FROM Digital-Support Services TO PCW Tech & Digital - Order Placement & Fulfillment VIA Transfer ID: 5321 2024-09-09 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-04-26
Unknown",2026-05-14 00:00:00,CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL,"Wong, Jeffrey; Figueroa, John; Aleem, Haris; Lee, Earnest; Platia, Nicholas; Miller, Mechelle","Kitt, Anitra","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, ENTERPRISE UMS WEB ADMIN TOOL, GDX CASH RECON, REBATE CLIENT REGISTRATION, REBATES RCI MANAGER, RXARCHITECT",PCI,Yes,High Risk (60-79),68,"EDR, PCI",2024-06-30 00:00:00,106032,10/15 Belle updated POC for app to correct assignment - 09/06 GF MS Transfer Ticket #5321 Successfully Submitted,,,tstaws4d.caremarkrx.net,10.93.74.38,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,VAE_MSB_AutoTag_IP_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-28 00:00:00,2026-05-14 00:00:00,,0,0,1,0,,,2024-06-01 00:00:00,,0,0,0,0,225225636_106032_R17,1,/appl/client_server/vers/shared/cmp/log4j-1.2.17.jar,"Ambrozie, Tony",1
