Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,"Policy
Due Date",QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
No Due Date,Unknown,,2026-07-31 00:00:00,PBM IVR,,"Borrelli, Michael",,PCI,Yes,Low Risk (1-39),23,"T2, PCI",,2027-07-31 00:00:00,387936,,,,paz1ivrapl10v.corp.cvscaremark.com,10.93.164.58,,OpenSSL PKCS#7/S/MIME Signature Verification Use-After-Free Vulnerability,,Red Hat Enterprise Linux Server 7.9,Linux,,"CrowdStrike, Qualys_CSAM, Satellite, SNOW",CLD,2026-07-31 00:00:00,2026-08-01 00:00:00,2026-07-31 00:00:00,,1,0,0,0,,,,,1,0,0,0,225424029_387936,1,"OpenSSL 1.0.2k-fips  26 Jan 2017 
/proc/2870/maps","Pal, Pushpendu",0
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R13,1,/appl/client_server/vers/shared/medicare_shared_components/lib/log4j-1.2.17.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R22,1,/appl/client_server/vers/shared/cmp/log4j-1.2.17.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R29,1,/appl/client_server/trg/shared/ProcessController/lib/log4j-1.2.14.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R25,1,/appl/client_server/vers/shared/cee/log4j-1.2.11.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R7,1,/appl/client_server/vers/shared/vpharmacy/log4j-1.2.7.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R8,1,/appl/client_server/vers/shared/SpILJars/log4j-1.2.17.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R21,1,/appl/client_server/vers/shared/cmp/log4j-1.2.8.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_CEA - MaCE_2025-02-28
4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R28,1,/appl/client_server/trg/shared/vpharmacy/log4j-1.2.7.jar,"Pal, Pushpendu",1
Overdue (60+ Days),PS-Member Experience,"FROM PS-Digital Experience TO PS-Member Experience VIA Transfer ID: 14235 2026-03-23 REVERT TRANSFER: PS-Member Experience TO CEA - MaCE VIA Transfer ID: 14219 2026-03-23 FROM CEA - MaCE TO PS-Digital Experience VIA Transfer ID: 14220 2026-03-17 FROM CEA - MaCE TO PS-Member Experience VIA Transfer ID: 14219 2026-03-17 FROM PCW Tech & Digital - Core Platforms and Tech - Merch/Mktg TO Digital-Support Services VIA Transfer ID: 7850 2024-10-24 4_Title Search:%log4j% Results:%/shared/oms/%_Rule:1916397_2024-09-27
FROM PCW Tech & Digital - Core Platforms and Tech - Retail/MO TO   CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL VIA Transfer ID: 7480 2024-09-25 FROM Digital-Support Services TO PCW Tech & Digital - Core Platforms and Tech - Retail/MO VIA Transfer ID: 5290 2024-09-05 FROM Digital-Support Services_PBM TO Digital-Support Services VIA Transfer ID: 390 2024-06-13 4_Title Search:%log4j% Results:%/appl/%_Rule:178427_AppToTower_CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL_Digital-Support Services_2023-06-15
Unknown",2026-03-23 00:00:00,PeopleSafe,"Williams, Imani; Dasilva, Bolaji; Aina, Tobi","Schmalz, Frank","CAREMARK MESSAGING PLATFORM (CMP) - INTERNAL, PeopleSafe",PCI,Yes,High Risk (60-79),63,"EDR, T2, PCI, AppEx, AppEX_SNOW",2024-10-27 00:00:00,2022-05-09 00:00:00,106032,CAREMARK MESSAGING PLATFORM (CMP) – INTERNAL Application does not align to PCW. Reprocessing rules. Dave Gallego confirmed that Log4j assignment rules should be left in place. The CAREMARK MESSAGING PLATFORM (CMP) – INTERNAL app team is responsible for clean-up of old paths on these devices. (AETH\A614564) 10/15 Belle updated POC for app to correct assignment - 09/20 GF MS Transfer Ticket #7480 Successfully Submitted for EVS to determine ownership - 09/05 GF MS Transfer Ticket #5290 Successfully Submitted,,,trnwas2b.caremarkrx.net,10.93.14.24,,EOL/Obsolete Software: Apache Log4j 1.X Detected,,AIX 7.3 TL4,AIX,"Cloud Agent,OS.AIX,VAE_All_Assets,Internal IP Range,PBM_Assets,HCB_ASSETS,VAE_MSB_AutoTag_AGENT_AIX,tagset_2982450,VAE-AutoScan-Weekly-CLD-HCB","Qualys_CSAM, SNOW",CLD,2022-04-09 00:00:00,2026-08-01 00:00:00,2026-03-23 00:00:00,,0,0,1,0,,,2024-10-01 00:00:00,,0,0,0,0,225220643_106032_R11,1,/appl/client_server/vers/shared/oms/log4j-1.2.8.jar,"Pal, Pushpendu",1
